id,ABSTRACT,Computer Science,Mathematics,Physics,Statistics
19692,"a purpose of this paper was to investigate a asymptotic behavior of automorphism groups of function fields when genus tends to infinity. motivated by applications inside coding and cryptography, we consider a maximum size of abelian subgroups of a automorphism group $\mbox{aut}(f/\mathbb{f}_q)$ inside terms of genus ${g_f}$ considering the function field $f$ over the finite field $\mathbb{f}_q$. although a whole group $\mbox{aut}(f/\mathbb{f}_q)$ could have size $\omega({g_f}^4)$, a maximum size $m_f$ of abelian subgroups of a automorphism group $\mbox{aut}(f/\mathbb{f}_q)$ was upper bounded by $4g_f+4$ considering $g_f\ge 2$. inside a present paper, we study a asymptotic behavior of $m_f$ by defining $m_q=\limsup_{{g_f}\rightarrow\infty}\frac{m_f \cdot \log_q m_f}{g_f}$, where $f$ runs through all function fields over $\mathbb{f}_q$. we show that $m_q$ lies between $2$ and $3$ (or $4$) considering odd characteristic (or considering even characteristic, respectively). this means that $m_f$ grows much more slowly than genus does asymptotically. a second part of this paper was to study a maximum size $b_f$ of subgroups of $\mbox{aut}(f/\mathbb{f}_q)$ whose order was coprime to $q$. a hurwitz bound gives an upper bound $b_f\le 84(g_f-1)$ considering every function field $f/\mathbb{f}_q$ of genus $g_f\ge 2$. we investigate a asymptotic behavior of $b_f$ by defining ${b_q}=\limsup_{{g_f}\rightarrow\infty}\frac{b_f}{g_f}$, where $f$ runs through all function fields over $\mathbb{f}_q$. although a hurwitz bound shows ${b_q}\le 84$, there are no lower bounds on $b_q$ inside literature. one does not even know if ${b_q}=0$. considering a first time, we show that ${b_q}\ge 2/3$ by explicitly constructing some towers of function fields inside this paper.",0,1,0,0
3765,"different combinations of input parameters to filament identification algorithms, such as disperse and filfinder, produce numerous different output skeletons. a skeletons are the one pixel wide representation of a filamentary structure inside a original input image. however, these output skeletons may not necessarily be the good representation of that structure. furthermore, the given skeleton may not be as good the representation as another. previously there has been no mathematical `goodness-of-fit' measure to compare output skeletons to a input image. thus far this has been assessed visually, introducing visual bias. we propose a application of a mean structural similarity index (mssim) as the mathematical goodness-of-fit measure. we describe a use of a mssim to find a output skeletons most mathematically similar to a original input image (the optimum, or `best', skeletons) considering the given algorithm, and independently of a algorithm. this measure makes possible systematic parameter studies, aimed at finding a subset of input parameter values returning optimum skeletons. it should also be applied to a output of non-skeleton based filament identification algorithms, such as a hessian matrix method. a mssim removes a need to visually examine thousands of output skeletons, and eliminates a visual bias, subjectivity, and limited reproducibility inherent inside that process, representing the major improvement on existing techniques. importantly, it also allows further automation inside a post-processing of output skeletons, which was crucial inside this era of `big data'.",0,0,1,0
7100,"purpose: a facial recess was the delicate structure that must be protected inside minimally invasive cochlear implant surgery. current research estimates a drill trajectory by with the help of endoscopy of a unique mastoid patterns. however, missing depth information limits available features considering the registration to preoperative ct data. therefore, this paper evaluates oct considering enhanced imaging of drill holes inside mastoid bone and compares oct data to original endoscopic images. methods: the catheter-based oct probe was inserted into the drill trajectory of the mastoid phantom inside the translation-rotation manner to acquire a inner surface state. a images are undistorted and stitched to create volumentric data of a drill hole. a mastoid cell pattern was segmented automatically and compared to ground truth. results: a mastoid pattern segmented on images acquired with oct show the similarity of j = 73.6 % to ground truth based on endoscopic images and measured with a jaccard metric. leveraged by additional depth information, automated segmentation tends to be more robust and fail-safe compared to endoscopic images. conclusion: a feasibility of with the help of the clinically approved oct probe considering imaging a drill hole inside cochlear implantation was shown. a resulting volumentric images provide additional information on a shape of caveties inside a bone structure, which will be useful considering image-to-patient registration and to approximate a drill trajectory. this will be another step towards safe minimally invasive cochlear implantation.",1,0,0,0
9900,"inside this paper we study a distance-based docking problem of unmanned aerial vehicles (uavs) by with the help of the single landmark placed at an arbitrarily unknown position. to solve a problem, we propose an integrated estimation-control scheme to simultaneously achieve a relative localization and navigation tasks considering discrete-time integrators under bounded velocity: the nonlinear adaptive approximation scheme to approximate a relative position to a landmark, and the delicate control scheme to ensure both a convergence of a approximation and a asymptotic docking at a given landmark. the rigorous proof of convergence was provided by invoking a discrete-time lasalle's invariance principle, and we also validate our theoretical findings on quadcopters equipped with ultra-wideband ranging sensors and optical flow sensors inside the gps-less environment.",1,0,0,0
17364,"helices of increased electron density should spontaneously form inside materials containing multiple, interacting density waves. although the macroscopic order parameter theory describing this behaviour has been proposed and experimentally tested, the detailed microscopic understanding of spiral electronic order inside any particular material was still lacking. here, we present a elemental chalcogens selenium and tellurium as model materials considering a development of chiral charge and orbital order. we formulate minimal models capturing a formation of spiral structures both inside terms of the macroscopic landau theory and the microscopic hamiltonian. both reproduce a known chiral crystal structure and are consistent with its observed thermal evolution and behaviour under applied pressure. a combination of microscopic and macroscopic frameworks allows us to distil a essential ingredients inside a emergence of helical charge order, and may serve as the guide to understanding spontaneous chirality both inside other specific materials and throughout materials classes.",0,0,1,0
438,"recent experiments revealed the striking asymmetry inside a phase diagram of a high temperature cuprate superconductors. a correlation effect seems strong inside a hole-doped systems and weak inside a electron-doped systems. on a other hand, the recent theoretical study shows that a interaction strengths (the hubbard u) are comparable inside these systems. therefore, it was difficult to explain this asymmetry by their interaction strengths. given this background, we analyze a one-particle spectrum of the single band model of the cuprate superconductor near a fermi level with the help of a dynamical mean field theory. we find a difference inside a ""visibility"" of a strong correlation effect between a hole- and electron-doped systems. this should explain a electron-hole asymmetry of a correlation strength without introducing a difference inside a interaction strength.",0,0,1,0
16811,this paper focuses on detecting anomalies inside the digital video broadcasting (dvb) system from providers' perspective. we learn the probabilistic deterministic real timed automaton profiling benign behavior of encryption control inside a dvb control access system. this profile was used as the one-class classifier. anomalous items inside the testing sequence are detected when a sequence was not accepted by a learned model.,1,0,0,0
13566,"this paper proposes the convolutional neural network (cnn)-based method that learns traffic as images and predicts large-scale, network-wide traffic speed with the high accuracy. spatiotemporal traffic dynamics are converted to images describing a time and space relations of traffic flow using the two-dimensional time-space matrix. the cnn was applied to a image following two consecutive steps: abstract traffic feature extraction and network-wide traffic speed prediction. a effectiveness of a proposed method was evaluated by taking two real-world transportation networks, a second ring road and north-east transportation network inside beijing, as examples, and comparing a method with four prevailing algorithms, namely, ordinary least squares, k-nearest neighbors, artificial neural network, and random forest, and three deep learning architectures, namely, stacked autoencoder, recurrent neural network, and long-short-term memory network. a results show that a proposed method outperforms other algorithms by an average accuracy improvement of 42.91% within an acceptable execution time. a cnn should train a model inside the reasonable time and, thus, was suitable considering large-scale transportation networks.",1,0,0,1
17500,"inside this paper, we consider a usual linear regression model inside a case where a error process was assumed strictly stationary. we use the result from hannan, who proved the central limit theorem considering a usual least square estimator under general conditions on a design and on a error process. we show that considering the large class of designs, a asymptotic covariance matrix was as simple as a i.i.d. case. we then approximate a covariance matrix with the help of an estimator of a spectral density whose consistency was proved under very mild conditions. as an application, we show how to modify a usual fisher tests inside this dependent context, inside such the way that a type-$i$ error rate remains asymptotically correct, and we illustrate a performance of this procedure through different sets of simulations.",0,1,0,1
10479,"the new technique was presented considering solving a problem of enforcing control limits inside power flow studies. as an added benefit, it greatly increases a achievable precision at nose points. a method was exemplified considering a case of mvar limits inside generators regulating voltage on both local and remote buses. based on a framework of a holomorphic embedding loadflow method (helm), it provides the rigorous solution to this fundamental problem by framing it inside terms of \emph{optimization}. the novel lagrangian formulation of power-flow, which was exact considering lossless networks, leads to the natural physics-based minimization criterion that yields a correct solution. considering networks with small losses, as was a case inside transmission, a ac power flow problem cannot be framed exactly inside terms of optimization, but a criterion still retains its ability to select a correct solution. this foundation then provides the way to design the helm scheme to solve considering a minimizing solution. although a use of barrier functions evokes interior point optimization, this method, like helm, was based on a analytic continuation of the germ (of the particular branch) of a algebraic curve representing a solutions of a system. inside this case, since a constraint equations given by limits result inside an unavoidable singularity at $s=1$, direct analytic continuation by means of standard pad? approximation was fraught with numerical instabilities. this has been overcome by means of the new analytic continuation procedure, denominated pad?-weierstrass, that exploits a covariant nature of a power flow equations under certain changes of variables. one colateral benefit of this procedure was that it should also be used when limits are not being enforced, inside order to increase a achievable numerical precision inside highly stressed cases.",1,0,0,0
19318,"this comprehensive study of comet c/1995 o1 focuses first on investigating its orbital motion over the period of 17.6 yr (1993-2010). a comet was suggested to have approached jupiter to 0.005 au on -2251 november 7, inside general conformity with marsden's (1999) proposal of the jovian encounter nearly 4300 yr ago. a variations of sizable nongravitational effects with heliocentric distance correlate with a evolution of outgassing, asymmetric relative to perihelion. a future orbital period will shorten to ~1000 yr because of orbital-cascade resonance effects. we find that a sublimation curves of parent molecules are fitted with a type of the law used considering a nongravitational acceleration, determine their orbit-integrated mass loss, and conclude that a share of water ice is at most 57%, and possibly less than 50%, of a total outgassed mass. even though organic parent molecules (many still unidentified) had very low abundances relative to water individually, their high molar mass and sheer number made them, summarily, important potential mass contributors to a total production of gas. a mass loss of dust per orbit exceeded that of water ice by the factor of ~12, the dust loading high enough to imply the major role considering heavy organic molecules of low volatility inside accelerating a minuscule dust particles inside a expanding halos to terminal velocities as high as 0.7 km s^{-1}. inside part ii, a comet's nucleus will be modeled as the compact cluster of massive fragments to conform to a integrated nongravitational effect.",0,0,1,0
4907,"a main objective of this paper was to address a instability and dynamical bifurcation of a dean problem. the nonlinear theory was obtained considering a dean problem, leading inside particular to rigorous justifications of a linear theory used by physicists, and a vortex structure. a main technical tools are a dynamic bifurcation theory [15] developed recently by ma and wang.",0,1,0,0
9052,"we consider a weight spectrum of the class of quasi-perfect binary linear codes with code distance 4. considering example, extended hamming code and panchenko code are a known members of this class. also, it was known that inside many cases panchenko code has a minimal number of weight 4 codewords. we give exact recursive formulas considering a weight spectrum of quasi-perfect codes and their dual codes. as an example of application of a weight spectrum we derive the lower approximate considering a conditional probability of correction of erasure patterns of high weights (equal to or greater than code distance).",1,0,0,0
14992,"superconductivity has been a focus of enormous research effort since its discovery more than the century ago. yet, some features of this unique phenomenon remain poorly understood; prime among these was a connection between superconductivity and chemical/structural properties of materials. to bridge a gap, several machine learning schemes are developed herein to model a critical temperatures ($t_{\mathrm{c}}$) of a 12,000+ known superconductors available using a supercon database. materials are first divided into two classes based on their $t_{\mathrm{c}}$ values, above and below 10 k, and the classification model predicting this label was trained. a model uses coarse-grained features based only on a chemical compositions. it shows strong predictive power, with out-of-sample accuracy of about 92%. separate regression models are developed to predict a values of $t_{\mathrm{c}}$ considering cuprate, iron-based, and ""low-$t_{\mathrm{c}}$"" compounds. these models also demonstrate good performance, with learned predictors offering potential insights into a mechanisms behind superconductivity inside different families of materials. to improve a accuracy and interpretability of these models, new features are incorporated with the help of materials data from a aflow online repositories. finally, a classification and regression models are combined into the single integrated pipeline and employed to search a entire inorganic crystallographic structure database (icsd) considering potential new superconductors. we identify more than 30 non-cuprate and non-iron-based oxides as candidate materials.",0,0,1,1
4293,"throughout a processing and analysis of survey data, the ubiquitous issue nowadays was that we are spoilt considering choice when we need to select the methodology considering some of its steps. a alternative methods usually fail and excel inside different data regions, and have various advantages and drawbacks, so the combination that unites a strengths of all while suppressing a weaknesses was desirable. we propose to use the two-level hierarchy of learners. its first level consists of training and applying a possible base methods on a first part of the known set. at a second level, we feed a output probability distributions from all base methods to the second learner trained on a remaining known objects. with the help of classification of variable stars and photometric redshift approximation as examples, we show that a hierarchical combination was capable of achieving general improvement over averaging-type combination methods, correcting systematics present inside all base methods, was easy to train and apply, and thus, it was the promising tool inside a astronomical ""big data"" era.",0,0,1,0
18212,"vector quantization aims to form new vectors/matrices with shared values close to a original. it could compress data with acceptable information loss and could be of great usefulness inside areas like image processing, pattern recognition, and machine learning. inside this paper, a problem of vector quantization was examined from the new perspective, namely sparse least square optimization. specifically, inspired by a property of sparsity of lasso, the novel quantization algorithm based on $l_1$ least square was proposed and implemented. similar schemes with $l_1 + l_2$ combination penalization and $l_0$ regularization are simultaneously proposed. inside addition, to produce quantization results with given amount of quantized values(instead of penalization coefficient $\lambda$), this paper proposed an iterative sparse least square method and the cluster-based least square quantization method. it was also noticed that a later method was mathematically equivalent to an improved version of a existed clustering-based quantization algorithm, although a two algorithms originated from different intuitions. a algorithms proposed were tested under three scenarios of data and their computational performance, including information loss, time consumption and a distribution of a value of sparse vectors were compared and analyzed. a paper offers the new perspective to probe a area of vector quantization, and a algorithms proposed could offer better performance especially when a required post-quantization value amounts are not on the tiny scale.",0,0,0,1
12408,"mechanistic modelling of animal movement was often formulated inside discrete time despite problems with scale invariance, such as handling irregularly timed observations. the natural solution was to formulate inside continuous time, yet uptake of this has been slow. this lack of implementation was often excused by the difficulty inside interpretation. here we aim to bolster usage by developing the continuous-time model with interpretable parameters, similar to those of popular discrete-time models that use turning angles and step lengths. movement was defined by the joint bearing and speed process, with parameters dependent on the continuous-time behavioural switching process, creating the flexible class of movement models. methodology was presented considering markov chain monte carlo inference given irregular observations, involving augmenting observed locations with the reconstruction of a underlying movement process. this was applied to well known gps data from elk (\emph{cervus elaphus}), which have previously been modelled inside discrete time. we demonstrate a interpretable nature of a continuous-time model, finding clear differences inside behaviour over time and insights into short term behaviour that could not have been obtained inside discrete time.",0,0,0,1
14200,"this paper discusses a phenomenon of backreaction within a szekeres model. cosmological backreaction describes how a mean global evolution of a universe deviates from a friedmannian evolution. a analysis was based on models of the single cosmological environment and a global ensemble of a szekeres models (of a swiss-cheese-type and styrofoam-type). a obtained results show that non-linear growth of cosmic structures was associated with a growth of a spatial curvature $\omega_{\cal r}$ (in a flrw limit $\omega_{\cal r} \to \omega_k$). if averaged over global scales a result depends on a assumed global model of a universe. within a swiss-cheese model, which does have the fixed background, a volume average follows a evolution of a background, and a global spatial curvature averages out to zero (the background model was a $\lambda$cdm model, which was spatially flat). inside a styrofoam-type model, which does not have the fixed background, a mean evolution deviates from a spatially flat $\lambda$cdm model, and a mean spatial curvature evolves to from $\omega_{\cal r} =0 $ at a cmb to $\omega_{\cal r} \sim 0.1$ at $z =0$. if a styrofoam-type model correctly captures evolutionary features of a real universe then one should expect that inside our universe, a spatial curvature should build up (local growth of cosmic structures) and its mean global average should deviate from zero (backreaction). as the result, this paper predicts that a low-redshift universe should not be spatially flat (i.e. $\omega_k \ne 0$, even if inside a early universe $\omega_k = 0$) and therefore when analysing low-$z$ cosmological data one should keep $\omega_k$ as the free parameter and independent from a cmb constraints.",0,0,1,0
19954,"inside this paper, we employ asymptotic analysis to determine information about small volume defects inside the known anisotropic scattering medium from far field scattering data. a location of a defects was reconstructed using a music algorithm from a range of a multi-static response matrix derived from a asymptotic expansion of a far field pattern inside a presence of small defects. since a same data determines a transmission eigenvalues corre- sponding to a perturbed media, we investigate how a presence of a defects changes a transmission eigenvalues and use this information to recover a strength of a small defects. we provide convergence results on transmission eigenvalues as a size of a defects tends to zero as well as derive a first correction term inside a asymptotic expansion of a simple transmission eigen- values. numerical examples are presented to show a viability of our imaging method.",0,1,0,0
1875,"we present here the population structured model to describe a dynamics of macrophage cells. a model involves a interactions between modified ldl, monocytes/macrophages, cytokines and foam cells. a key assumption was that a individual macrophage dynamics depends on a amount of lipoproteins it has internalized. a obtained renewal equation was coupled with an ode describing a lipoprotein dynamics. we first prove global existence and uniqueness considering a nonlinear and nonlocal system. we then study long time asymp-totics inside the particular case describing silent plaques which undergo periodic rupture and repair. finally we study long time asymptotics considering a nonlinear renewal equation obtained when considering a steady state of a ode. and we prove that ....",0,1,0,0
19843,"this paper presents an explicit construction considering an $((n=2qt,k=2q(t-1),d=n-(q+1)), (\alpha = q(2q)^{t-1},\beta = \frac{\alpha}{q}))$ regenerating code over the field $\mathbb{f}_q$ operating at a minimum storage regeneration (msr) point. a msr code should be constructed to have rate $k/n$ as close to $1$ as desired, sub-packetization level $\alpha \leq r^{\frac{n}{r}}$ considering $r=(n-k)$, field size $q$ no larger than $n$ and where all code symbols should be repaired with a same minimum data download. this was a first-known construction of such an msr code considering $d<(n-1)$.",1,0,0,0
1561,"structural properties of lacu$_{6-x}$ag$_{x}$ have been investigated with the help of neutron and x-ray diffraction, and resonant ultrasound spectroscopy (rus) measurements. diffraction measurements indicate the continuous structural transition from orthorhombic ($pnma$) to monoclinic ($p2_1/c$) structure. rus measurements show softening of natural frequencies at a structural transition, consistent with a elastic nature of a structural ground state. a structural transition temperatures inside lacu$_{6-x}$ag$_{x}$ decrease with ag composition until a monoclinic phase was completely suppressed at $x_c$ = 0.225. all of a evidence was consistent with a presence of an elastic quantum critical point inside lacu$_{6-x}$ag$_{x}$.",0,0,1,0
17964,"we consider a problem of the robot learning a mechanical properties of objects through physical interaction with a object, and introduce the practical, data-efficient idea behind the method considering identifying a motion models of these objects. a proposed method utilizes the physics engine, where a robot seeks to identify a inertial and friction parameters of a object by simulating its motion under different values of a parameters and identifying those that result inside the simulation which matches a observed real motions. a problem was solved inside the bayesian optimization framework. a same framework was used considering both identifying a model of an object online and searching considering the policy that would minimize the given cost function according to a identified model. experimental results both inside simulation and with the help of the real robot indicate that a proposed method outperforms state-of-the-art model-free reinforcement learning approaches.",1,0,0,0
